airport,freq_1993,freq_2003,shift_absolute,shift_pct
MSO,0.0004909635969484291,0.0005074922632306929,1.6528666282263765e-05,3.3665767452001005
MSP,0.023718987951797544,0.022483976401688734,-0.0012350115501088103,-5.206847579747664
MSY,0.008322666983391442,0.00813867222144037,-0.0001839947619510715,-2.2107668409447117
MTJ,2.0096749772756e-06,0.0003376963768400938,0.0003356867018628182,16703.53194713551
MYR,0.0004578039598233817,0.0008616154048936912,0.0004038114450703095,88.20619315440123
OAJ,0.00019574234278664347,0.0,-0.00019574234278664347,-100.0
OAK,0.007895209115724923,0.010497650419806508,0.002602441304081585,32.96228467081754
OGG,0.0005317599989871238,0.0009766027586540224,0.0004448427596668986,83.65479925421583
OKC,0.00482824413290463,0.0036805430183011537,-0.0011477011146034761,-23.770569238242498
OMA,0.003197794823840935,0.003155676292277004,-4.211853156393117e-05,-1.3171117561989722
OME,0.000189110415361634,0.000158897359729249,-3.0213055632384974e-05,-15.976410170010386
ONT,0.007268994392805846,0.005503440064658274,-0.0017655543281475724,-24.288838768330166
ORD,0.056058275751121045,0.055847999354301785,-0.0002102763968192603,-0.37510321893026694
ORF,0.003707046463082572,0.0034330358983252754,-0.0002740105647572968,-7.391613983965148
ORH,0.00011756598617062261,0.0,-0.00011756598617062261,-100.0
OTZ,0.00018991428535254423,0.00015747581277342074,-3.243847257912349e-05,-17.0805858647794
OXR,0.0,0.0002683564753280259,0.0002683564753280259,0.0
PBI,0.004950633339020714,0.0039045156386749856,-0.001046117700345728,-21.130987263796452
PDX,0.007164491293987514,0.008641583944480061,0.0014770926504925471,20.616853170470492
PFN,0.00024658711971171617,0.0004972255352163776,0.00025063841550466146,101.64294704349588
PHF,0.00021804973503440262,0.0006682850189010463,0.00045023528386664373,206.4828392456465
PHL,0.018840702911958752,0.016559600488443533,-0.0022811024235152196,-12.107310614548974
PHX,0.026771885209776906,0.026440141579758814,-0.0003317436300180922,-1.2391493068890858
PIA,0.0002849719117776801,0.0005638802924785477,0.00027890838070086755,97.87223553402589
PIE,0.0,0.0003836597284118746,0.0003836597284118746,0.0
